image,height,width,classID,xtl,ytl,xbr,ybr
V006_77_0_00_10_01_13_0_b08_20201020_0000_S01_1.jpg,3000,4000,1,1624,852,2816,2197
V006_77_0_00_10_01_13_0_b08_20201020_0001_S01_1.jpg,3000,4000,1,1338,778,2610,2487
V006_77_0_00_10_01_13_0_b08_20201020_0002_S01_1.jpg,3000,4000,1,1739,844,2852,2634
V006_77_0_00_10_01_13_0_b08_20201020_0003_S01_1.jpg,3000,4000,1,1782,847,2922,2543
V006_77_0_00_10_01_13_0_b08_20201020_0004_S01_1.jpg,3000,4000,1,1777,692,3092,2638
V006_77_0_00_10_01_13_0_b08_20201020_0005_S01_1.jpg,3000,4000,1,692,908,2757,2160
V006_77_0_00_10_01_13_0_b08_20201020_0006_S01_1.jpg,3000,4000,1,1057,788,2741,2212
V006_77_0_00_10_01_13_0_b08_20201020_0007_S01_1.jpg,3000,4000,1,380,436,3333,2581
V006_77_0_00_10_01_13_0_b08_20201020_0008_S01_1.jpg,3000,4000,1,848,328,2725,2593
V006_77_0_00_10_01_13_0_b08_20201020_0009_S01_1.jpg,3000,4000,1,1297,344,2537,2581
V006_77_0_00_10_01_13_0_b08_20201020_0010_S01_1.jpg,3000,4000,1,1128,1236,2924,2825
V006_77_0_00_10_01_13_0_b08_20201020_0011_S01_1.jpg,3000,4000,1,1280,916,3204,2461
V006_77_0_00_10_01_13_0_b08_20201020_0012_S01_1.jpg,3000,4000,1,1336,864,3064,2609
V006_77_0_00_10_01_13_0_b08_20201020_0013_S01_1.jpg,3000,4000,1,665,838,2904,2363
V006_77_0_00_10_01_13_0_b08_20201020_0014_S01_1.jpg,3000,4000,1,1131,1218,2720,2024
V006_77_0_00_10_01_13_0_b08_20201020_0015_S01_1.jpg,3000,4000,1,1398,976,2856,2175
V006_77_0_00_10_01_13_0_b08_20201020_0016_S01_1.jpg,3000,4000,1,1389,1003,2407,2025
V006_77_0_00_10_01_13_0_b08_20201020_0017_S01_1.jpg,3000,4000,1,674,807,2745,2004
V006_77_0_00_10_01_13_0_b08_20201020_0018_S01_1.jpg,3000,4000,1,1271,1223,2531,2138
V006_77_0_00_10_01_13_0_b08_20201020_0019_S01_1.jpg,3000,4000,1,896,908,2288,2697
V006_77_0_00_10_01_13_0_b08_20201020_0020_S01_1.jpg,3000,4000,1,963,790,2611,3000
V006_77_0_00_10_01_13_0_b08_20201020_0021_S01_1.jpg,3000,4000,1,1532,1173,2875,2208
V006_77_0_00_10_01_13_0_b08_20201020_0022_S01_1.jpg,3000,4000,1,1267,1170,2692,2255
V006_77_0_00_10_01_13_0_b08_20201020_0023_S01_1.jpg,3000,4000,1,1587,939,3239,2500
V006_77_0_00_10_01_13_0_b08_20201020_0024_S01_1.jpg,3000,4000,1,1556,1107,2934,2266
