gender,age,age_partner,importance_same_religion,pref_of_partner_attractive,pref_of_partner_sincere,pref_of_partner_intelligence,pref_of_partner_funny,pref_of_partner_ambitious,pref_of_partner_shared_interests,eval_by_partner_attractive,eval_by_partner_sincere,eval_by_partner_intelligence,eval_by_partner_funny,eval_by_partner_ambitous,eval_by_partner_shared_interests,my_pref_attractive,my_pref_sincere,my_pref_intellicence,my_pref_funny,my_pref_ambtition,my_pref_shared_interests,my_eval_attractive,my_eval_sincere,my_eval_intelligence,my_eval_funny,my_eval_ambition,my_eval_shared_interests,interests_correlate,expected_happy_with_couple_match,how_much_i_liked,guess_prob_liked,married
female,21,27,4,35,20,20,20,0,5,6,8,8,8,8,6,15,20,20,15,15,15,6,9,7,7,6,5,0.14,3,7,6,0
female,21,22,4,60,0,0,40,0,0,7,8,10,7,7,5,15,20,20,15,15,15,7,8,7,8,5,6,0.54,3,7,5,0
female,21,22,4,19,18,19,18,14,12,10,10,10,10,10,10,15,20,20,15,15,15,5,8,9,8,5,7,0.16,3,7,5,1
female,21,23,4,30,5,15,40,5,5,7,8,9,8,9,8,15,20,20,15,15,15,7,6,8,7,6,8,0.61,3,7,6,1
female,21,24,4,30,10,20,10,10,20,8,7,9,6,9,7,15,20,20,15,15,15,5,6,7,7,6,6,0.21,3,6,6,1
female,21,25,4,50,0,30,10,0,10,7,7,8,8,7,7,15,20,20,15,15,15,4,9,7,4,6,4,0.25,3,6,5,0
female,21,30,4,35,15,25,10,5,10,3,6,7,5,8,7,15,20,20,15,15,15,7,6,7,4,6,7,0.34,3,6,5,0
female,21,27,4,33.33,11.11,11.11,11.11,11.11,22.22,6,7,5,6,8,6,15,20,20,15,15,15,4,9,7,6,5,6,0.5,3,6,7,0
female,21,28,4,50,0,25,10,0,15,7,7,8,8,8,9,15,20,20,15,15,15,7,6,8,9,8,8,0.28,3,7,7,1
female,21,24,4,100,0,0,0,0,0,6,6,6,6,6,6,15,20,20,15,15,15,5,6,6,8,10,8,-0.36,3,6,6,0
female,24,27,5,35,20,20,20,0,5,8,7,6,9,7,4,45,5,25,20,0,5,5,7,8,4,6,3,0.29,4,6,4,0
female,24,22,5,60,0,0,40,0,0,7,6,10,6,6,5,45,5,25,20,0,5,8,5,6,6,9,6,0.18,4,7,3,0
female,24,22,5,19,18,19,18,14,12,10,10,10,10,10,10,45,5,25,20,0,5,5,8,9,6,3,4,0.1,4,6,7,0
female,24,23,5,30,5,15,40,5,5,9,9,9,9,9,9,45,5,25,20,0,5,7,9,7,6,5,7,-0.21,4,7,8,1
female,24,24,5,30,10,20,10,10,20,10,10,10,10,7,8,45,5,25,20,0,5,6,8,7,9,7,8,0.32,4,8,6,0
female,24,25,5,50,0,30,10,0,10,7,8,7,5,7,7,45,5,25,20,0,5,8,7,8,3,6,2,0.73,4,6,5,0
female,24,30,5,35,15,25,10,5,10,5,3,4,3,5,3,45,5,25,20,0,5,7,5,9,6,7,9,0.6,4,8,7,0
female,24,27,5,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,7,5,45,5,25,20,0,5,5,8,7,5,9,5,0.07,4,5,6,0
female,24,28,5,50,0,25,10,0,15,8,6,9,9,8,7,45,5,25,20,0,5,7,6,8,9,4,5,0.11,4,5,6,1
female,24,24,5,100,0,0,0,0,0,6,5,7,7,9,7,45,5,25,20,0,5,6,7,8,7,9,8,0.39,4,8,7,0
female,25,27,4,35,20,20,20,0,5,7,8,6,5,8,4,35,10,35,10,10,0,7,9,10,7,8,9,-0.24,4,8,7,0
female,25,22,4,60,0,0,40,0,0,6,7,10,6,6,5,35,10,35,10,10,0,9,7,9,8,9,7,-0.14,4,8,7,0
female,25,22,4,19,18,19,18,14,12,10,10,10,10,10,10,35,10,35,10,10,0,7,9,9,7,9,7,0.09,4,8,7,0
female,25,23,4,30,5,15,40,5,5,7,9,8,8,8,8,35,10,35,10,10,0,9,7,9,7,9,7,-0.04,4,8,7,0
female,25,24,4,30,10,20,10,10,20,6,10,8,6,5,5,35,10,35,10,10,0,9,10,10,10,10,10,-0.14,4,9,5,0
female,25,25,4,50,0,30,10,0,10,7,6,6,6,6,6,35,10,35,10,10,0,8,10,10,7,9,9,-0.3,4,8,5,0
female,25,30,4,35,15,25,10,5,10,6,3,5,4,5,4,35,10,35,10,10,0,8,9,10,7,7,9,-0.26,4,8,7,0
female,25,27,4,33.33,11.11,11.11,11.11,11.11,22.22,4,5,6,4,6,4,35,10,35,10,10,0,7,9,9,8,9,7,0.29,4,8,7,0
female,25,28,4,50,0,25,10,0,15,7,7,6,8,7,7,35,10,35,10,10,0,9,9,9,9,9,9,-0.15,4,9,7,0
female,25,24,4,100,0,0,0,0,0,5,6,8,5,8,6,35,10,35,10,10,0,8,7,9,7,9,7,-0.47,4,8,7,0
female,23,27,1,35,20,20,20,0,5,6,7,8,7,7,5,20,20,20,20,10,10,4,10,8,5,8,7,-0.18,1,6,7,0
female,23,22,1,60,0,0,40,0,0,6,5,10,6,6,5,20,20,20,20,10,10,8,7,8,10,7,8,-0.18,1,8,1,0
female,23,22,1,19,18,19,18,14,12,10,10,10,10,10,10,20,20,20,20,10,10,4,7,8,8,6,7,0.05,1,4,1,0
female,23,23,1,30,5,15,40,5,5,7,7,7,9,9,9,20,20,20,20,10,10,8,10,7,10,7,10,-0.18,1,8,10,1
female,23,24,1,30,10,20,10,10,20,8,8,9,8,8,9,20,20,20,20,10,10,6,9,8,9,8,9,0.21,1,7,7,0
